ID,dystrophy_count,volume,dystrophy_density,region,prefix,genotype
A_4_M04_SMI312_CA1_P-_050424,9,669780,1.34E-05,Hippocampus,A_4,APPPS1
A_4_M04_SMI312_L23_P-_050424,14,904203,1.55E-05,Cortex,A_4,APPPS1
A_4_M04_SMI312_L1_P-_050424,34,870714,3.90E-05,Cortex,A_4,APPPS1
A_4_M04_SMI312_L4_P-_050424,3,770247,3.89E-06,Cortex,A_4,APPPS1
B_1_M04_SMI312_L23_P-_050424,12,703269,1.71E-05,Cortex,B_1,APPPS1
B_1_M04_SMI312_L4_P-_030724_2,0,703269,0,Cortex,B_1,APPPS1
B_1_M04_SMI312_L1_P-_050424,3,1071648,2.80E-06,Cortex,B_1,APPPS1
B_1_M04_SMI312_L4_P-_050423,5,1105137,4.52E-06,Cortex,B_1,APPPS1
B_2_M04_SMI312_L4_P-_030724,0,1038159,0,Cortex,B_2,APPPS1
B_2_M04_SMI312_L1_P-_030724,0,1038159,0,Cortex,B_2,APPPS1
B_2_M04_SMI312_L23_P-_060424,3,1172115,2.56E-06,Cortex,B_2,APPPS1
B_3_M04_SMI312_L23_P-_030724,1,1205604,8.29E-07,Cortex,B_3,APPPS1xFIRE
B_3_M04_SMI312_L4_P-_060424,3,1038159,2.89E-06,Cortex,B_3,APPPS1xFIRE
B_3_M04_SMI312_DGG_P-_060424,2,1038159,1.93E-06,Hippocampus,B_3,APPPS1xFIRE
B_4_M04_SMI312_L4_P-_030724,1,1205604,8.29E-07,Cortex,B_4,APPPS1xFIRE
B_4_M04_SMI312_L1_P-_060424,17,971181,1.75E-05,Cortex,B_4,APPPS1xFIRE
B_4_M04_SMI312_CA1_P-_060424,13,1172115,1.11E-05,Hippocampus,B_4,APPPS1xFIRE
B_4_M04_SMI312_L23_P-_060424,10,1205604,8.29E-06,Cortex,B_4,APPPS1xFIRE
C_1_M04_SMI312_L4_P-_030724,2,1205604,1.66E-06,Cortex,C_1,APPPS1xFIRE
C_1_M04_SMI312_L23_P-_060424,1,937692,1.07E-06,Cortex,C_1,APPPS1xFIRE
C_1_M04_SMI312_L1_P-_030724,1,1205604,8.29E-07,Cortex,C_1,APPPS1xFIRE
C_2_M04_SMI312_L1_P-_030724,0,1071648,0,Cortex,C_2,APPPS1
C_2_M04_SMI312_L23_P-_060424,26,636291,4.09E-05,Cortex,C_2,APPPS1
C_2_M04_SMI312_CA1_P-_060424,5,803736,6.22E-06,Hippocampus,C_2,APPPS1
D_3_M04_SMI312_L1_P-_030724,0,870714,0,Cortex,D_3,APPPS1xFIRE
D_3_M04_SMI312_L23_P-_060424,8,837225,9.56E-06,Cortex,D_3,APPPS1xFIRE
D_3_M04_SMI312_L4_P-_030724,1,870714,1.15E-06,Cortex,D_3,APPPS1xFIRE
D_4_M04_SMI312_L4_P-_060424,1,234423,4.27E-06,Cortex,D_4,APPPS1xFIRE
D_4_M04_SMI312_L1_P-_030724,0,870714,0,Cortex,D_4,APPPS1xFIRE
D_4_M04_SMI312_L23_P-_030724,0,870714,0,Cortex,D_4,APPPS1xFIRE
F_1_M04_SMI312_L23_P-_070424,9,970654,9.27E-06,Cortex,F_1,APPPS1xFIRE
F_1_M04_SMI312_L4_P-_070424,2,1205604,1.66E-06,Cortex,F_1,APPPS1xFIRE
F_1_M04_SMI312_L1_P-_070424,4,1205604,3.32E-06,Cortex,F_1,APPPS1xFIRE
F_2_M04_SMI312_L4_P-_040724,1,870714,1.15E-06,Cortex,F_2,APPPS1xFIRE
F_2_M04_SMI312_L1_P-_040724,0,870714,0,Cortex,F_2,APPPS1xFIRE
F_2_M04_SMI312_L23_P-_070424,3,870714,3.45E-06,Cortex,F_2,APPPS1xFIRE
F_3_M04_SMI312_L1_P-_040724,0,1239093,0,Cortex,F_3,APPPS1
F_3_M04_SMI312_L4_P-_040724,0,1205604,0,Cortex,F_3,APPPS1
F_3_M04_SMI312_L23_P-_040724,0,1239093,0,Cortex,F_3,APPPS1
G_4_M04_SMI312_L1_P-_070424,20,703269,2.84E-05,Cortex,G_4,APPPS1
G_4_M04_SMI312_DGM_P-_070424,29,803736,3.61E-05,Hippocampus,G_4,APPPS1
G_4_M04_SMI312_L4_P-_070424,8,435357,1.84E-05,Cortex,G_4,APPPS1
H_2_M04_SMI312_CA1_P-_070424,6,636291,9.43E-06,Hippocampus,H_2,APPPS1
H_2_M04_SMI312_L4_P-_070424,9,937692,9.60E-06,Cortex,H_2,APPPS1
H_2_M04_SMI312_L23_P-_070424,12,804945,1.49E-05,Cortex,H_2,APPPS1
