ID,dystrophy_count,volume,dystrophy_density,region,prefix,genotype
C_3_M04_SMI312_L1_P-_280524,0,1473516,0,Cortex,C_3,FIRE
C_3_M04_SMI312_L23_P-_280524,0,1440027,0,Cortex,C_3,FIRE
C_3_M04_SMI312_L4_P-_280524,0,1473516,0,Cortex,C_3,FIRE
C_4_M04_SMI312_L23_P-_280524,0,1272582,0,Cortex,C_4,FIRE
C_4_M04_SMI312_L4_P-_280524,0,1272582,0,Cortex,C_4,FIRE
C_4_M04_SMI312_L1_P-_280524,0,1272582,0,Cortex,C_4,FIRE
D_1_M04_SMI312_L23_P-_280524,2,1272582,1.57E-06,Cortex,D_1,WT
D_1_M04_SMI312_L1_P-_280524,0,1272582,0,Cortex,D_1,WT
D_1_M04_SMI312_L4_P-_280524,0,1272582,0,Cortex,D_1,WT
D_2_M04_SMI312_L1_P-_040624,0,1138626,0,Cortex,D_2,WT
D_2_M04_SMI312_L23_P-_040624,0,1138626,0,Cortex,D_2,WT
D_2_M04_SMI312_L4_P-_040624,0,1138626,0,Cortex,D_2,WT
E_1_M04_SMI312_L1_P-_040624,0,1239093,0,Cortex,E_1,FIRE
E_1_M04_SMI312_L4_P-_040624,0,1105137,0,Cortex,E_1,FIRE
E_1_M04_SMI312_L23_P-_040624,0,1239093,0,Cortex,E_1,FIRE
E_2_M04_SMI312_L1_P-_040624,0,1172115,0,Cortex,E_2,FIRE
E_2_M04_SMI312_L23_P-_040624,0,1172115,0,Cortex,E_2,FIRE
E_2_M04_SMI312_L4_P-_040624,0,1172115,0,Cortex,E_2,FIRE
E_3_M04_SMI312_L23_P-_040624,0,1205604,0,Cortex,E_3,WT
E_3_M04_SMI312_L4_P-_040624,0,1205604,0,Cortex,E_3,WT
E_3_M04_SMI312_L1_P-_040624,0,1205604,0,Cortex,E_3,WT
E_4_M04_SMI312_L1_P-_050624,0,1138626,0,Cortex,E_4,WT
E_4_M04_SMI312_L23_P-_050624,0,1138626,0,Cortex,E_4,WT
E_4_M04_SMI312_L4_P-_050624,0,1138626,0,Cortex,E_4,WT
F_4_M04_SMI312_L4_P-_050624,0,1172115,0,Cortex,F_4,FIRE
F_4_M04_SMI312_L1_P-_050624,0,1172115,0,Cortex,F_4,FIRE
F_4_M04_SMI312_L23_P-_050624,0,1172115,0,Cortex,F_4,FIRE
G_1_M04_SMI312_L4_P-_050624,0,1272582,0,Cortex,G_1,WT
G_1_M04_SMI312_L23_P-_050624,0,1272582,0,Cortex,G_1,WT
G_1_M04_SMI312_L1_P-_050624,0,1272582,0,Cortex,G_1,WT
C_3_M04_SMI312_CA1_P-_280524,0,1373049,0,Hippocampus,C_3,FIRE
C_4_M04_SMI312_CA1_P-_280524,1,1272582,7.86E-07,Hippocampus,C_4,FIRE
C_4_M04_SMI312_DGG_P-_280524,0,1272582,0,Hippocampus,C_4,FIRE
C_4_M04_SMI312_DGM_P-_280524,2,1272582,1.57E-06,Hippocampus,C_4,FIRE
D_1_M04_SMI312_CA1_P-_280524,0,937692,0,Hippocampus,D_1,WT
D_1_M04_SMI312_DGG_P-_280524,0,937692,0,Hippocampus,D_1,WT
D_2_M04_SMI312_CA1_P-_040624,0,1306071,0,Hippocampus,D_2,WT
E_1_M04_SMI312_DGM_P-_040624,0,1004670,0,Hippocampus,E_1,FIRE
E_1_M04_SMI312_DGG_P-_040624,0,1004670,0,Hippocampus,E_1,FIRE
E_1_M04_SMI312_CA1_P-_040624,0,1004670,0,Hippocampus,E_1,FIRE
E_2_M04_SMI312_DGG_P-_040624,0,1205604,0,Hippocampus,E_2,FIRE
E_2_M04_SMI312_CA1_P-_040624,0,1205604,0,Hippocampus,E_2,FIRE
E_2_M04_SMI312_DGM_P-_040624,0,1205604,0,Hippocampus,E_2,FIRE
E_3_M04_SMI312_DGG_P-_040624,0,1172115,0,Hippocampus,E_3,WT
E_3_M04_SMI312_CA1_P-_040624,0,1172115,0,Hippocampus,E_3,WT
E_4_M04_SMI312_DGM_P-_050624,1,1339560,7.47E-07,Hippocampus,E_4,WT
E_4_M04_SMI312_CA1_P-_050624,1,1306071,7.66E-07,Hippocampus,E_4,WT
E_4_M04_SMI312_DGG_P-_050624,1,1339560,7.47E-07,Hippocampus,E_4,WT
F_4_M04_SMI312_DGM_P-_050624,0,1071648,0,Hippocampus,F_4,FIRE
F_4_M04_SMI312_CA1_P-_050624,0,1105137,0,Hippocampus,F_4,FIRE
F_4_M04_SMI312_DGG_P-_050624,0,1071648,0,Hippocampus,F_4,FIRE
G_1_M04_SMI312_CA1_P-_050624,0,1138626,0,Hippocampus,G_1,WT
G_1_M04_SMI312_DGG_P-_050624,0,1138626,0,Hippocampus,G_1,WT
