ID,dystrophy_count,region_volume,region_volume_within50umx2,dystrophy_count0-10,dystrophy_count10-20,dystrophy_count20-30,dystrophy_count30-40,dystrophy_count40-50,dystrophy_density,dystrophy_density0_10,dystrophy_density10_20,dystrophy_density20_30,dystrophy_density30_40,dystrophy_density40_50,region,prefix,genotype
A_4_M04_SMI312_L1_P+_050424 - M04405_SMI31,23,353056.5695,706113.139,8,3,1,4,3,6.51E-05,2.27E-05,8.50E-06,2.83E-06,1.13E-05,8.50E-06,Cortex,A_4,APPPS1
A_4_M04_SMI312_L23_P+_050424 - M04405_SMI31,5,380908.8547,761817.7094,3,1,0,0,1,1.31E-05,7.88E-06,2.63E-06,0.00E+00,0.00E+00,2.63E-06,Cortex,A_4,APPPS1
A_4_M04_SMI312_L4_P+_050424 - M04405_SMI312594_0424.,14,370595.9644,741191.9288,4,3,1,2,3,3.78E-05,1.08E-05,8.10E-06,2.70E-06,5.40E-06,8.10E-06,Cortex,A_4,APPPS1
B_1_M04_SMI312_L23_P+_050424 - M04405_SMI31,37,332247.6587,664495.3174,18,3,3,4,3,1.11E-04,5.42E-05,9.03E-06,9.03E-06,1.20E-05,9.03E-06,Cortex,B_1,APPPS1
B_1_M04_SMI312_L1_P+_050424 - M04405_SMI31,23,529343.6216,1058687.243,14,3,4,1,0,4.35E-05,2.64E-05,5.67E-06,7.56E-06,1.89E-06,0.00E+00,Cortex,B_1,APPPS1
B_1_M04_SMI312_L4_P+_050424 - M04405_SMI31,51,512342.5988,1024685.198,25,7,5,3,2,9.95E-05,4.88E-05,1.37E-05,9.76E-06,5.86E-06,3.90E-06,Cortex,B_1,APPPS1
B_2_M04_SMI312_L23_P+_060424 - M04405_SMI31,34,558743.1557,1117486.311,24,3,3,2,0,6.09E-05,4.30E-05,5.37E-06,5.37E-06,3.58E-06,0.00E+00,Cortex,B_2,APPPS1
B_2_M04_SMI312_L4_P+_060424 - M04405_SMI31,22,396986.0186,793972.0372,10,5,2,1,1,5.54E-05,2.52E-05,1.26E-05,5.04E-06,2.52E-06,2.52E-06,Cortex,B_2,APPPS1
B_2_M04_SMI312_L1_P+_060424 - M04405_SMI31,41,367537.7796,735075.5592,15,1,5,4,2,1.12E-04,4.08E-05,2.72E-06,1.36E-05,1.09E-05,5.44E-06,Cortex,B_2,APPPS1
B_3_M04_SMI312_L1_P+_060424 - M04405_SMI31,38,507034.2345,1014068.469,9,7,5,1,4,7.49E-05,1.78E-05,1.38E-05,9.86E-06,1.97E-06,7.89E-06,Cortex,B_3,APPPS1xFIRE
B_3_M04_SMI312_L23_P+_060424 - M04405_SMI31,1,286980.2158,573960.4317,0,1,0,0,0,3.48E-06,0.00E+00,3.48E-06,0.00E+00,0.00E+00,0.00E+00,Cortex,B_3,APPPS1xFIRE
B_4_M04_SMI312_L4_P+_060424 - M04405_SMI31,20,183180.3677,366360.7354,4,5,5,4,1,1.09E-04,2.18E-05,2.73E-05,2.73E-05,2.18E-05,5.46E-06,Cortex,B_4,APPPS1xFIRE
B_4_M04_SMI312_L23_P+_060424 - M04405_SMI31,24,581896.1586,1163792.317,8,3,5,5,0,4.12E-05,1.37E-05,5.16E-06,8.59E-06,8.59E-06,0.00E+00,Cortex,B_4,APPPS1xFIRE
B_4_M04_SMI312_L1_P+_060424 - M04405_SMI31,7,426745.9206,853491.8413,6,0,0,0,0,1.64E-05,1.41E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,Cortex,B_4,APPPS1xFIRE
C_1_M04_SMI312_L23_P+_060424 - M04405_SMI31,22,384265.6082,768531.2164,17,2,1,2,0,5.73E-05,4.42E-05,5.20E-06,2.60E-06,5.20E-06,0.00E+00,Cortex,C_1,APPPS1xFIRE
C_1_M04_SMI312_L1_P+_060424 - M04405_SMI31,8,361601.538,723203.0761,7,0,0,0,0,2.21E-05,1.94E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,Cortex,C_1,APPPS1xFIRE
C_2_M04_SMI312_L4_P+_060424 - M04405_SMI31,22,451706.0327,903412.0654,12,4,2,1,1,4.87E-05,2.66E-05,8.86E-06,4.43E-06,2.21E-06,2.21E-06,Cortex,C_2,APPPS1
C_2_M04_SMI312_L23_P+_060424 - M04405_SMI31,27,310870.8654,621741.7309,11,8,2,1,1,8.69E-05,3.54E-05,2.57E-05,6.43E-06,3.22E-06,3.22E-06,Cortex,C_2,APPPS1
C_2_M04_SMI312_L23_P+_060424_2 - M04405_SMI31,28,310018.5148,620037.0296,18,4,4,0,0,9.03E-05,5.81E-05,1.29E-05,1.29E-05,0.00E+00,0.00E+00,Cortex,C_2,APPPS1
D_3_M04_SMI312_L23_P+_060424 - M04405_SMI31,8,415599.7305,831199.4609,5,1,1,1,0,1.92E-05,1.20E-05,2.41E-06,2.41E-06,2.41E-06,0.00E+00,Cortex,D_3,APPPS1xFIRE
